,pred
0,158989.638125
1,122046.660390625
2,135618.085703125
3,136137.499140625
4,245387.987265625
5,344010.16546875
6,105525.657578125
7,200198.307578125
8,133548.023203125
9,271517.888125
10,178963.095390625
11,226679.99515625
12,348467.06578125
13,170422.7390625
14,143393.541953125
15,344958.89765625
16,181610.2584375
17,208281.96328125
18,180800.865
19,363214.7165625
20,361306.300390625
21,186599.9253125
22,433964.2590625
23,151853.099765625
24,195249.08375
25,230077.45921875
26,188161.851171875
27,165524.521640625
28,180706.095
29,183052.93015625
30,190433.97640625
31,169534.607890625
32,282479.47921875
33,198623.5140625
34,127257.722265625
35,274000.139609375
36,248563.246875
37,160593.21015625
38,211279.64734375
39,181499.860625
40,239276.0459375
41,149621.17375
42,185469.33921875
43,189283.0928125
44,164288.4440625
45,124832.2090625
46,249246.1828125
47,213376.3525
48,151101.159609375
49,235152.394453125
50,186096.6390625
51,198302.5859375
52,127522.8675
53,134505.497421875
54,379956.73875
55,174440.6728125
56,337952.3871875
57,189461.56453125
58,146501.2934375
59,121770.58875
60,187118.22390625
61,242732.87765625
62,181771.12109375
63,194936.449453125
64,246184.127109375
65,124463.89515625
66,233591.8840625
67,164597.242265625
68,177771.10046875
69,133575.769453125
70,174782.419609375
71,114114.213203125
72,221334.0436328125
73,333072.783203125
74,322807.94921875
75,163764.005234375
76,242429.62859375
77,243682.9021875
78,153048.157265625
79,255485.343125
80,165459.407109375
81,172214.174453125
82,204011.323984375
83,109238.5609375
84,300070.75765625
85,333123.044375
86,175138.293828125
87,279575.530390625
88,461417.68796875
89,109723.279609375
90,157185.5309375
91,202694.54484375
92,195597.297421875
93,124395.557109375
94,180086.90234375
95,229747.94125
96,198158.253984375
97,387264.36984375
98,238010.355703125
99,398273.8434375
100,183479.16921875
101,374392.1146875
102,199707.283125
103,199172.96515625
104,288984.470078125
105,207068.977890625
106,282084.36234375
107,160027.40078125
108,184187.8740625
109,206668.754375
110,254472.45984375
111,178004.7178125
112,189586.4009375
113,172107.977421875
114,174821.328046875
115,198574.790078125
116,229251.6459375
117,341401.59921875
118,341407.67046875
119,438622.44171875
120,260902.247109375
121,292292.3096875
122,223375.075625
123,184083.7678125
124,205318.959921875
125,208754.87921875
126,229751.70265625
127,316929.73625
128,207284.15953125
129,183445.693359375
130,241592.4696875
131,333066.0490234375
132,183773.415546875
133,198936.648125
134,163499.263203125
135,194165.341875
136,128337.1428125
137,128141.140546875
138,199487.983828125
139,189191.298984375
140,201966.8096875
141,379305.0209375
142,180291.23734375
143,211363.9915625
144,213805.94046875
145,200512.58546875
146,155016.201328125
147,130902.799609375
148,173774.76703125
149,207332.107421875
150,233628.07703125
151,401237.652890625
152,308561.068671875
153,275360.63703125
154,100392.443203125
155,175419.82984375
156,338066.464765625
157,270293.162734375
158,177837.23984375
159,225233.405234375
160,105417.819765625
161,245518.2171875
162,174692.4284375
163,185705.233125
164,175431.78109375
165,181185.9846875
166,167292.882734375
167,191036.040703125
168,197275.825546875
169,286207.12578125
170,207438.35578125
171,207574.4715625
172,157887.189375
173,178385.530859375
174,143057.85796875
175,164225.69109375
176,197192.674765625
177,168518.00078125
178,288552.76953125
179,126100.1275
180,215170.05484375
181,124691.710703125
182,165352.88203125
183,179729.81515625
184,300579.600234375
185,211054.737109375
186,189455.836796875
187,325669.972109375
188,205349.90125
189,198116.93078125
190,211030.343828125
191,235285.0575
192,171095.7875
193,185978.875703125
194,128022.3503125
195,288584.976328125
196,117707.288046875
197,188565.18765625
198,298065.227421875
199,178240.52234375
200,227702.535625
201,171242.130546875
202,162019.4328125
203,244402.03234375
204,199431.86828125
205,65612.4365625
206,192920.4071875
207,205784.123515625
208,194225.489375
209,166022.676328125
210,323093.90296875
211,201200.59484375
212,190649.56
213,110819.61921875
214,269744.455859375
215,147832.79359375
216,219683.681484375
217,228749.846171875
218,187812.900234375
219,255383.76078125
220,343307.27
221,374838.01046875
222,178575.382421875
223,104653.417265625
224,132581.34796875
225,241160.82078125
226,177042.281484375
227,68824.1870703125
228,166496.473984375
229,178404.607421875
230,146832.266015625
231,246754.37328125
232,308673.546875
233,196671.848125
234,190024.608125
235,142885.902265625
236,259310.26
237,168416.64453125
238,167055.764765625
239,352198.6431510417
240,139102.526171875
241,462726.8490625
242,221412.02203125
243,235517.2403125
244,169966.779453125
245,511432.1265625
246,135251.836953125
247,114842.16625
248,143894.099296875
249,305018.300390625
250,189675.160234375
251,151848.855234375
252,277307.7490625
253,164162.43359375
254,194443.5665625
255,217558.17375
256,150999.13984375
257,69694.7928125
258,266057.15890625
259,128361.578359375
260,171680.36078125
261,173661.948125
262,220867.402578125
263,295328.68640625
264,173157.33703125
265,135528.881015625
266,237472.857578125
267,175343.23625
268,222424.146875
269,129338.459296875
270,189713.045859375
271,266485.01125
272,245791.183125
273,226484.4378125
274,127457.820390625
275,211542.61578125
276,116388.835078125
277,306572.33984375
278,158147.786796875
279,173931.70234375
280,166007.966328125
281,173476.928515625
282,248272.22171875
283,268935.295
284,216405.46515625
285,166384.4871875
286,194260.62125
287,158577.02
288,218391.13046875
289,196639.49390625
290,164724.37
291,228682.004296875
292,286004.4834375
293,164707.737421875
294,417164.7053125
295,241617.29125
296,233139.18375
297,151410.06625
298,281388.7078125
299,94086.143203125
300,172312.91734375
301,180410.9196875
302,193113.051796875
303,108265.874375
304,188986.861171875
305,232337.63078125
306,168954.9665625
307,147689.75796875
308,214804.2046875
309,215464.55515625
310,276839.9398046875
311,189776.87484375
312,475113.67515625
313,212815.75125
314,118923.274453125
315,194883.71984375
316,281484.6465625
317,145981.861484375
318,146069.241328125
319,104499.20484375
320,173751.88265625
321,119275.8665625
322,113707.979609375
323,175915.62875
324,180596.552890625
325,124364.21765625
326,234038.313828125
327,193668.5065625
328,139514.5790625
329,167531.212421875
330,139525.434765625
331,175344.07046875
332,212457.005078125
333,108815.324375
334,286979.4528125
335,174879.48328125
336,209048.99171875
337,131876.943359375
338,228554.324375
339,126773.466484375
340,254863.198515625
341,202370.09625
342,245089.192734375
343,227986.13328125
344,194945.750078125
345,165669.719609375
346,240284.777421875
347,242940.077578125
348,185886.668125
349,117493.486953125
350,400957.70953125
351,179808.01375
352,141155.02359375
353,121201.734609375
354,165903.99703125
355,376736.8659375
356,129344.037734375
357,177062.203125
358,259597.8909375
359,357947.220703125
360,187005.86515625
361,246124.50703125
362,115975.63859375
363,185825.980859375
364,178434.34078125
365,156979.4065625
366,189476.729765625
367,206283.12078125
368,104660.445546875
369,369744.99875
370,204885.72171875
371,237300.071015625
372,330592.143359375
373,237967.984140625
374,425328.6059375
375,251544.354375
376,98654.629765625
377,198830.356328125
378,229444.874921875
379,212264.04421875
380,219713.226640625
381,495143.93171875
382,177907.90515625
383,206727.01109375
384,214559.153828125
385,198287.630625
386,260985.432578125
387,147028.166484375
388,147428.935234375
389,179123.82140625
390,259776.811171875
391,289268.566015625
392,288436.90484375
393,141490.7253125
394,151722.91546875
395,276574.72953125
396,168554.31046875
397,207657.7021875
398,232760.13453125
399,209816.679375
400,148644.1153125
401,177178.28390625
402,207185.244765625
403,228917.677265625
404,280809.754765625
405,181013.66125
406,165932.6225
407,199687.3334375
408,164734.29515625
409,180615.2125
410,194695.81
411,189014.716796875
412,382060.3434375
413,214128.95671875
414,207243.286796875
415,103425.315390625
416,180529.56578125
417,300897.342734375
418,190560.775625
419,172236.656484375
420,187528.868515625
421,218581.97015625
422,160054.446953125
423,416472.41109375
424,339454.4290625
425,360148.128671875
426,193132.292578125
427,173252.14453125
428,163226.677890625
429,147327.304609375
430,287106.45078125
431,368912.13578125
432,161091.430078125
433,301994.9521875
434,148502.12
435,156103.9415625
436,329957.36875
437,155852.1125
438,173689.771328125
439,202533.5028125
440,274988.6075
441,146116.020234375
442,373529.764609375
443,322077.2959375
444,268527.23125
445,140230.07609375
446,134191.296484375
447,143021.71859375
448,128456.573515625
449,145235.912421875
450,171816.272734375
451,166271.075546875
452,329379.40984375
453,156268.158125
454,133548.5884375
455,203144.60390625
456,193789.194375
457,157468.13671875
458,138996.414453125
459,181549.0525
460,175741.47828125
461,163847.154609375
462,221318.44171875
463,291179.0778125
464,160546.979453125
465,248205.080859375
466,202064.8465625
467,307828.186953125
468,91561.8124609375
469,223486.1384375
470,337945.11
471,300923.43140625
472,249771.9164453125
473,180043.492109375
474,173551.937109375
475,257446.551484375
476,157723.469296875
477,176288.922265625
478,189493.70375
479,168158.4828125
480,210770.15171875
481,144432.84921875
482,158296.8615625
483,286380.499609375
484,102909.91390625
485,184424.70953125
486,233710.966484375
487,254632.7853125
488,185118.1959375
489,223284.99890625
490,71374.7107421875
491,143682.029765625
492,127533.239609375
493,135040.334453125
494,140872.95359375
495,273281.1575
496,123710.079765625
497,184613.360234375
498,241076.73203125
499,103972.089140625
500,302879.05484375
501,248399.80421875
502,175260.074140625
503,220385.4503125
504,198524.442734375
505,342344.087890625
506,281217.635546875
507,178322.7640625
508,172596.646953125
509,217593.58765625
510,371025.02390625
511,258856.707265625
512,229218.650390625
513,300681.831328125
514,69609.23015625
515,275995.87328125
516,359899.241640625
517,220448.07296875
518,216545.91359375
519,176169.68203125
520,226303.703984375
521,195259.556328125
522,173917.98125
523,163701.728203125
524,165959.24
525,284643.056328125
526,231059.13140625
527,301602.2171875
528,245699.161953125
529,172128.482265625
530,222628.087734375
531,322294.3690625
532,165415.354609375
533,361589.32359375
534,181906.909375
535,85336.65875
536,178557.66421875
537,200605.809375
538,160704.7846875
539,140536.600546875
540,121619.17015625
541,174496.03953125
542,210606.650546875
543,166242.62765625
544,189932.495234375
545,110716.202109375
546,150752.73828125
547,315989.153828125
548,192256.49421875
549,169781.027734375
550,260861.612734375
551,169408.83234375
552,145466.886796875
553,128716.259765625
554,170615.466875
555,146647.188515625
556,172187.3184375
557,188465.48171875
558,219392.0609375
559,85502.3796875
560,394633.0378125
561,157914.533828125
562,306699.797578125
563,121381.5128125
564,160294.793125
565,279825.58734375
566,379814.479375
567,185476.936171875
568,139017.664453125
569,202042.043828125
570,481747.7178125
571,174464.12203125
572,96787.539609375
573,204494.8484375
574,297542.629609375
575,371435.11625
576,180454.525625
577,306279.4678125
578,175088.1315625
579,140441.588671875
580,263354.276484375
581,240754.579765625
582,465901.16625
583,373461.10015625
584,328613.622890625
585,263579.1296875
586,179645.5346875
587,497150.21984375
588,187625.568203125
589,307863.155234375
590,201636.6589453125
591,152175.15203125
592,207829.99859375
593,245559.6425
594,316478.882890625
595,185081.196953125
596,199034.3721875
597,250333.285
598,129622.14140625
599,323292.747109375
600,177644.618359375
601,195569.416640625
602,160390.029609375
603,223404.93546875
604,215565.282890625
605,204405.5325
606,214464.625703125
607,195304.463203125
608,188391.0515625
609,176084.79953125
610,217858.5396875
611,211188.344609375
612,154587.67140625
613,281715.1284375
614,461729.206875
615,194091.473828125
616,208909.285
617,235078.206875
618,268208.475859375
619,119067.40140625
620,276031.974609375
621,208149.1190625
622,225252.997265625
623,192730.346171875
624,247471.93875
625,153222.552578125
626,186805.10640625
627,230510.010234375
628,255833.6184375
629,192465.75578125
630,202102.36390625
631,212959.2159375
632,242145.040625
633,202912.822578125
634,179675.05921875
635,221867.24546875
636,148672.843984375
637,260129.005859375
638,181835.97390625
639,319397.93671875
640,205738.968828125
641,178469.7573828125
642,148470.817421875
643,189037.038984375
644,484143.916171875
645,211504.228359375
646,332646.325625
647,153209.28875
648,346916.07046875
649,353652.839140625
650,225172.955
651,252131.89984375
652,213943.65984375
653,165255.8771875
654,381860.709296875
655,213094.127578125
656,148117.44828125
657,264415.34234375
658,296286.7890625
659,292754.870390625
660,206054.77328125
661,270793.9553125
662,291559.54015625
663,161598.173359375
664,131681.021796875
665,147086.983828125
666,171581.832890625
667,180239.4503125
668,205244.68484375
669,70074.1883984375
670,121093.786015625
671,410758.65984375
672,286491.646328125
673,237768.04015625
674,140704.7415625
675,256977.8790625
676,278523.075703125
677,164482.916875
678,77934.6003515625
679,347184.603828125
680,233349.752578125
681,178361.7565625
682,155717.270625
683,189710.92994791665
684,160384.364921875
685,272101.77765625
686,204746.83609375
687,274613.2471875
688,201146.364609375
689,143186.805859375
690,227352.30421875
691,213604.816484375
692,142283.12953125
693,243050.80375
694,175002.444765625
695,161394.66140625
696,209106.30109375
697,170734.522578125
698,181188.2134375
699,105580.62546875
700,209732.99375
701,210781.96828125
702,207033.018984375
703,496922.366875
704,256308.26234375
705,250985.844140625
706,198679.38921875
707,236563.34578125
708,329129.469296875
709,115292.49265625
710,466965.762578125
711,246812.976015625
712,178691.93140625
713,262430.1765625
714,103569.641484375
715,434088.32875
716,348451.99484375
717,138304.29703125
718,125226.078984375
719,235009.825703125
720,394459.194921875
721,133850.223515625
722,155124.521796875
723,334920.93359375
724,150962.80046875
725,184929.67265625
726,133354.451171875
727,290744.321171875
728,473701.04796875
729,140671.08171875
730,179671.46421875
731,158905.475546875
732,177091.6546875
733,197622.369609375
734,218777.718203125
735,148180.7828125
736,185452.92890625
737,171516.318515625
738,465767.028359375
739,194031.3859375
740,157474.46828125
741,290820.30328125
742,115660.654609375
743,132687.09953125
744,250098.28921875
745,115379.663828125
746,171064.933125
747,270192.74765625
748,108455.795
749,147019.007265625
750,122717.63390625
751,323895.451796875
752,188032.1928125
753,161370.452890625
754,270996.715546875
